Nome,Nome contatto,Città,Indirizzo,Tipo locale,Telefono,Email,Partita IVA,Latitudine,Longitudine,Note
Castelnuovo del Garda1,Vera Fontana,Castelnuovo del Garda,Via Gardesana 123,Bar,0457570123,castelnuovo1@bar.it,IT16234567890,45.45123400,10.74567800,Cliente Gardaland sud
Castelnuovo del Garda2,Nello Costa,Castelnuovo del Garda,Piazza Mazzini 34,Ristorante,0457571234,castelnuovo2@rist.it,IT16234567891,45.45456700,10.74890100,Pagamento stagionale
Castelnuovo del Garda3,Olga Caruso,Castelnuovo del Garda,Via Roma 56,Pizzeria,0457572345,castelnuovo3@pizza.it,IT16234567892,45.45789000,10.75123400,Cliente turistico
SanMartinoBA1,Ivo Romano,San Martino Buon Albergo,Via Verona 89,Bar,0458700234,sanmartino1@bar.it,IT17234567890,45.41890100,11.06567800,Cliente est Verona
SanMartinoBA2,Lidia Giordano,San Martino Buon Albergo,Corso Italia 23,Caffetteria,0458701345,sanmartino2@caffe.it,IT17234567891,45.42123400,11.06890100,Pagamento anticipato
SanMartinoBA3,Cesare Vitale,San Martino Buon Albergo,Piazza Libertà 45,Trattoria,0458702456,sanmartino3@tratt.it,IT17234567892,45.42456700,11.07123400,Ordini fissi
Zevio1,Alma Longo,Zevio,Via Roma 123,Bar,0458700345,zevio1@bar.it,IT18234567890,45.38456700,11.13890100,Cliente sud-est
Zevio2,Tullio Palmieri,Zevio,Corso Garibaldi 56,Ristorante,0458701456,zevio2@rist.it,IT18234567891,45.38789000,11.14123400,Pagamento 60gg
Zevio3,Ilda Lombardi,Zevio,Piazza Maggiore 12,Pizzeria,0458702567,zevio3@pizza.it,IT18234567892,45.39123400,11.14456700,Cliente affidabile
Grezzana1,Fausto Moretti,Grezzana,Via Verona 78,Bar,0457900345,grezzana1@bar.it,IT19234567890,45.50123400,11.00890100,Cliente valle nord
Grezzana2,Iris Rizzo,Grezzana,Piazza Vittoria 23,Osteria,0457901456,grezzana2@osteria.it,IT19234567891,45.50456700,11.01123400,Ordini montagna
Grezzana3,Primo Ferraro,Grezzana,Via Roma 45,Trattoria,0457902567,grezzana3@tratt.it,IT19234567892,45.50789000,11.01456700,Cliente Valpantena
